sku,product_desc,brand_cd,product_sub_type,brand_code_3,brand_desc,upc,inv_order_type,image_url,msrp,map_price,image_url1,image_url2,image_url3,image_url4
1079L170MO3GB-H62,MOTO CAP 8X170 H62 GLOSS BLACK,MO,CAP,MTO,Moto Metal,885463234229,ST,https://images.wheelpros.com/Accessories/1079L170MO3GB-H62.png,33.00,33.00,,,,
1079L121-AXSB,ATX CAP SATIN BLACK 5X4.5/120/5 H32,AX,CAP,ATX,ATX Series,885463188676,ST,https://images.wheelpros.com/Accessories/1079L121-AXSB.png,30.00,30.00,,,,
1079L145-AXSB,ATX CAP SATIN BLACK 6X135/5.5 H31,AX,CAP,ATX,ATX Series,885463188706,ST,https://images.wheelpros.com/Accessories/1079L145-AXSB.png,32.00,32.00,,,,
1079L145A-AXSB,ATX CAP SATIN BLACK 5X5.5/150 H31,AX,CAP,ATX,ATX Series,885463188683,ST,https://images.wheelpros.com/Accessories/1079L145A-AXSB.png,30.00,30.00,,,,
1079L171FMOGB-H44,MOTO DUALLY FRONT CAP (GB/CH) - 8X6.5,MO,CAP,MTO,Moto Metal,885463763033,ST,https://images.wheelpros.com/Accessories/1079L171FMOGB-H44.png,28.00,28.00,,,,
1079L171FMOSB-H44,MOTO DUALLY FRONT CAP (SB/CH) - 8X6.5,MO,CAP,MTO,Moto Metal,885463763026,ST,https://images.wheelpros.com/Accessories/1079L171FMOSB-H44.png,28.00,28.00,,,,
1079L171RMOGB-H124,MOTO DUALLY REAR CAP (GB/CH) - 8X6.5,MO,CAP,MTO,Moto Metal,885463762999,ST,https://images.wheelpros.com/Accessories/1079L171RMOGB-H124.png,36.00,36.00,,,,
1079L171RMOSB-H124,MOTO DUALLY REAR CAP (SB/CH) - 8X6.5,MO,CAP,MTO,Moto Metal,885463762982,ST,https://images.wheelpros.com/Accessories/1079L171RMOSB-H124.png,36.00,36.00,,,,
1079L199FMOGB-H47,MOTO DUALLY FRONT CAP (GB/CH)- 8X200/210,MO,CAP,MTO,Moto Metal,885463762951,ST,https://images.wheelpros.com/Accessories/1079L199FMOGB-H47.png,32.00,32.00,,,,
1079L199FMOSB-H47,MOTO DUALLY FRONT CAP (SB/CH)- 8X200/210,MO,CAP,MTO,Moto Metal,885463762944,ST,https://images.wheelpros.com/Accessories/1079L199FMOSB-H47.png,32.00,32.00,,,,
1079L199RMOGB-H122,MOTO DUALLY REAR CAP (GB/CH) - 8X200/210,MO,CAP,MTO,Moto Metal,885463762913,ST,https://images.wheelpros.com/Accessories/1079L199RMOGB-H122.png,42.00,42.00,,,,
1079L199RMOSB-H122,MOTO DUALLY REAR CAP (SB/CH) - 8X200/210,MO,CAP,MTO,Moto Metal,885463762906,ST,https://images.wheelpros.com/Accessories/1079L199RMOSB-H122.png,42.00,42.00,,,,
AXCAPAF-SB,ATX DUALLY FRONT CAP 8X200/210 - S-BLK,AX,CAP,ATX,ATX Series,885463576916,ST,https://images.wheelpros.com/Accessories/AXCAPAF-SB.png,32.00,32.00,,,,
